Date,Open,High,Low,Close
10/15/2021,"4,447.69","4,475.82","4,447.69","4,471.37"
10/14/2021,"4,386.75","4,439.73","4,386.75","4,438.26"
10/13/2021,"4,358.01","4,372.87","4,329.92","4,363.80"
10/12/2021,"4,368.31","4,374.89","4,342.09","4,350.65"
10/11/2021,"4,385.44","4,415.88","4,360.59","4,361.19"
10/8/2021,"4,406.51","4,412.02","4,386.22","4,391.34"
10/7/2021,"4,383.73","4,429.97","4,383.73","4,399.76"
10/6/2021,"4,319.57","4,365.57","4,290.49","4,363.55"
10/5/2021,"4,309.87","4,369.23","4,309.87","4,345.72"
10/4/2021,"4,348.84","4,355.51","4,278.94","4,300.46"
10/1/2021,"4,317.16","4,375.19","4,288.52","4,357.04"
9/30/2021,"4,370.67","4,382.55","4,306.24","4,307.54"
9/29/2021,"4,419.54","4,359.46","4,359.46","4,359.46"
9/28/2021,"4,419.54","4,419.54","4,346.33","4,352.63"
9/27/2021,"4,442.12","4,457.30","4,436.19","4,443.11"
9/24/2021,"4,438.04","4,463.12","4,430.27","4,455.48"
9/23/2021,"4,406.75","4,465.40","4,406.75","4,448.98"
9/22/2021,"4,367.43","4,416.75","4,367.43","4,395.64"
9/21/2021,"4,374.45","4,394.87","4,347.96","4,354.19"
9/20/2021,"4,402.95","4,402.95","4,305.91","4,357.73"
9/17/2021,"4,469.74","4,471.52","4,427.76","4,432.99"
9/16/2021,"4,477.09","4,485.87","4,443.80","4,473.75"
9/15/2021,"4,447.49","4,486.87","4,438.37","4,480.70"
